source_org,document_type,document_id,url,local_path,sha256,matrix_domain,intended_use,limitations
NIST,SRM,SRM 1957,https://tsapps.nist.gov/srmext/certificates/1957.pdf,data/reference/nist/srm1957/serum_pfas.csv,ce5fc87a6a1e875af4fcc8df4cbffe6919fd6939f9dedb6e4f0af7b3d199f52f,physiological_serum,"Software benchmarking; analyte and uncertainty metadata for reconstituted human serum (Table A2 non-certified mass fractions).","Non-certified values only; not for regulatory compliance or certified-property claims. Matrix is serum — do not merge with environmental or calibration-line datasets."
NIST,SRM,SRM 1957,https://tsapps.nist.gov/srmext/certificates/1957.pdf,data/reference/nist_srm1957_pfas_reference.csv,4c5080e6c9b0cda3a3583ddbf92d1aed36a03c672e2082b9d9581c3ce5563868,physiological_serum,"Extended row-level metadata (isomers, traceability text) for the same Table A2 consensus values as the slim serum file.","Same limitations as Table A2 non-certified data; maintain separation from non-serum matrices."
NIST,RM,RM 8446,https://shop.nist.gov/ccrz__ProductList?categoryId=a0l3d0000005KqIAAU&cclcl=en_US,data/reference/nist/rm8446/methanol_pfas.csv,b70bedbd23edf602b4625f774e69c4d4f4444ff6cb89ce3c4764f64d25d10c82,methanol_calibration,"Calibration and process-control reference for LC-MS/MS workflows; analyte mapping in methanol matrix.","Not a field or exposure matrix; not wet-lab PT. Values non-certified; verify current NIST documentation before operational lab use."
NIST,RM,RM 8690,https://www.nist.gov/publications/characterization-reference-materials-8690-8693,data/reference/nist/rm8690/afff_pfas.csv,18b2dc99b6d9ff1b2c8e6fb783c93a5433c393226e275b68438b203bbfe65b74,AFFF_foam,"AFFF / foam-associated PFAS profile; environmental and forensic context (e.g. PFOS-dominant patterns).","Foam formulation matrix — not drinking water, serum, or generic soil. Non-certified; do not infer site concentrations without matching sampling and prep context."
EPA,dataset,OTM-50 FW_TO 2023,https://doi.org/10.23719/1531897,data/external/epa_otm50/FW_TO_OTM-50data_2023.xlsx,3638342d9ef7cc09fc8846e3a68a4c699970cefb5d23299a4b2f3be24604cdba,air_emissions,"Stack-gas PFAS measurements at a fluoropolymer manufacturer (thermal-oxidizer controls, 2023); industrial source characterization and air-emission ML features.","Single-facility OTM-50 (Other Test Method) dataset; not EPA-promulgated compliance method, not ambient air, not drinking water, not biosolids. Do not merge with UCMR, NHANES, ICIS-NPDES, or NIST reference rows."
EPA,dataset,OTM-50 FW_VEN 2023,https://doi.org/10.23719/1531897,data/external/epa_otm50/FW_VEN_OTM-50data_2023.xlsx,e02ddd26aaa8823ae6bc670caa60f07127b152c8b4c167816a065dc22c9eae88,air_emissions,"Vent-stream PFAS measurements at a fluoropolymer manufacturer (2023); industrial source characterization.","Single-facility OTM-50 dataset; air-emissions matrix only. Same separation rules as the FW_TO row."
EPA,dataset,OTM-50 FW_VES 2024,https://doi.org/10.23719/1531897,data/external/epa_otm50/FW_VES_OTM-50data_2024.xlsx,e0ced630fcb38ab83cb6cf99ae680740ed4ba1d43e6331c4b13b3b0064a4d4bc,air_emissions,"Vessel / process PFAS measurements at a fluoropolymer manufacturer (2024); industrial source characterization.","Single-facility OTM-50 dataset; air-emissions matrix only. Same separation rules as the FW_TO row."
EPA,derived,ICIS-AIR PFAS pollutant rows,https://echo.epa.gov/tools/data-downloads,data/processed/epa_icis_air/icis_air_pfas_pollutants.csv,55e4444773a260241468cb2636d63cc366a2fb5ac033df08070790f3cf16337b,air_program_reference,"PFAS-flagged rows extracted from EPA ICIS-AIR_POLLUTANTS.csv via scripts/filter_icis_air_pfas.py. Two rows (EPA aggregate PERFLUOROCARBONS code 300000288, CAS 308069-13-8); facility linkage and air-program context.","Program-reporting metadata, not analytical concentrations. The matched CAS is the EPA aggregate Perfluorocarbons (fluorinated GHGs CF4/C2F6/C3F8), NOT a drinking-water-class PFAS analyte; do not conflate with PFOA/PFOS targets. Do not merge with OTM-50, UCMR, NHANES, NPDES DMR, or NIST rows."
EPA,derived,ICIS-AIR PFAS facility rollup,https://echo.epa.gov/tools/data-downloads,data/processed/epa_icis_air/icis_air_pfas_facility_rollup.csv,2adaafbadd843433e652627ced25dab5f38e73e0348430cde47fc1ab3b6cdf9f,air_program_reference,"Facility x analyte rollup of icis_air_pfas_pollutants.csv. Two distinct (pgm_sys_id, pollutant_code, pollutant_desc) tuples for join-key use in the Shiny app.","Same governance caveats as the row-level file; carries no units or concentrations."
EPA,dataset,ICIS-NPDES Biosolids bulk export,https://echo.epa.gov/tools/data-downloads,data/raw/epa_icis_npdes/npdes_biosolids_downloads.zip,2d6c117cd514c791811cb31b97a342110bdfdf399c102fbc487686662c150b77,biosolids_sludge,"EPA ECHO ICIS-NPDES biosolids facility / permit / compliance bulk export (NPDES_BIOSOLIDS_PERMITS, INSPECTIONS, SEV_VIOLATIONS, FORMAL_ACTIONS, INFML_ENF_ACTIONS).","Program metadata only (permits, inspections, violations, enforcement actions) — NOT nationwide PFAS-in-biosolids concentrations. Analytical PFAS context for this matrix comes from EPA Method 1633(A). Do not merge with UCMR, NHANES, OTM-50, ICIS-AIR, or NIST rows."
